"activity_day","mau"
"2024-03-23 00:00:00.000","1254"
"2024-03-24 00:00:00.000","1226"
"2024-03-25 00:00:00.000","1211"
"2024-03-26 00:00:00.000","1232"
"2024-03-27 00:00:00.000","1238"
"2024-03-28 00:00:00.000","1243"
"2024-03-29 00:00:00.000","1255"
"2024-03-30 00:00:00.000","1265"
"2024-03-31 00:00:00.000","1242"
"2024-04-01 00:00:00.000","1215"
"2024-04-02 00:00:00.000","1214"
"2024-04-03 00:00:00.000","1185"
"2024-04-04 00:00:00.000","1161"
"2024-04-05 00:00:00.000","1123"
"2024-04-06 00:00:00.000","1080"
"2024-04-07 00:00:00.000","1044"
"2024-04-08 00:00:00.000","1009"
"2024-04-09 00:00:00.000","983"
"2024-04-10 00:00:00.000","956"
"2024-04-11 00:00:00.000","926"
"2024-04-12 00:00:00.000","890"
"2024-04-13 00:00:00.000","846"
"2024-04-14 00:00:00.000","809"
"2024-04-15 00:00:00.000","772"
"2024-04-16 00:00:00.000","737"
"2024-04-17 00:00:00.000","707"
"2024-04-18 00:00:00.000","684"
"2024-04-19 00:00:00.000","660"
"2024-04-20 00:00:00.000","628"
"2024-04-21 00:00:00.000","593"
"2024-04-22 00:00:00.000","556"
"2024-04-23 00:00:00.000","522"
"2024-04-24 00:00:00.000","493"
"2024-04-25 00:00:00.000","462"
"2024-04-26 00:00:00.000","437"
"2024-04-27 00:00:00.000","393"
"2024-04-28 00:00:00.000","368"
"2024-04-29 00:00:00.000","328"
"2024-04-30 00:00:00.000","293"
"2024-05-01 00:00:00.000","262"
"2024-05-02 00:00:00.000","244"
"2024-05-03 00:00:00.000","220"
"2024-05-04 00:00:00.000","208"
"2024-05-05 00:00:00.000","203"
"2024-05-06 00:00:00.000","196"
"2024-05-07 00:00:00.000","189"
"2024-05-08 00:00:00.000","182"
"2024-05-09 00:00:00.000","177"
"2024-05-10 00:00:00.000","171"
"2024-05-11 00:00:00.000","166"
"2024-05-12 00:00:00.000","161"
"2024-05-13 00:00:00.000","157"
"2024-05-14 00:00:00.000","155"
"2024-05-15 00:00:00.000","154"
"2024-05-16 00:00:00.000","149"
"2024-05-17 00:00:00.000","145"
"2024-05-18 00:00:00.000","141"
"2024-05-19 00:00:00.000","139"
"2024-05-20 00:00:00.000","132"
"2024-05-21 00:00:00.000","129"
"2024-05-22 00:00:00.000","127"
"2024-05-23 00:00:00.000","126"
"2024-05-24 00:00:00.000","123"
"2024-05-25 00:00:00.000","120"
"2024-05-26 00:00:00.000","117"
"2024-05-27 00:00:00.000","114"
"2024-05-28 00:00:00.000","111"
"2024-05-29 00:00:00.000","111"
"2024-05-30 00:00:00.000","108"
"2024-05-31 00:00:00.000","106"
"2024-06-01 00:00:00.000","102"
"2024-06-02 00:00:00.000","101"
"2024-06-03 00:00:00.000","98"
"2024-06-04 00:00:00.000","97"
"2024-06-05 00:00:00.000","95"
"2024-06-06 00:00:00.000","91"
"2024-06-07 00:00:00.000","86"
"2024-06-08 00:00:00.000","83"
"2024-06-09 00:00:00.000","79"
"2024-06-10 00:00:00.000","76"
"2024-06-11 00:00:00.000","73"
"2024-06-12 00:00:00.000","72"
"2024-06-13 00:00:00.000","68"
"2024-06-14 00:00:00.000","66"
"2024-06-15 00:00:00.000","63"
"2024-06-16 00:00:00.000","63"
"2024-06-17 00:00:00.000","60"
"2024-06-18 00:00:00.000","58"
"2024-06-20 00:00:00.000","57"
"2024-06-21 00:00:00.000","54"
"2024-06-22 00:00:00.000","52"
"2024-06-24 00:00:00.000","43"
"2024-06-25 00:00:00.000","42"
"2024-06-27 00:00:00.000","38"
