"cohort_month","month_number","cohort_customers","active_customers","pct_retained"
"2010-02-01 00:00:00.000","17","374","61","16.31"
"2010-02-01 00:00:00.000","18","374","54","14.44"
"2010-02-01 00:00:00.000","19","374","86","22.99"
"2010-02-01 00:00:00.000","20","374","86","22.99"
"2010-02-01 00:00:00.000","21","374","61","16.31"
"2010-02-01 00:00:00.000","22","374","22","5.88"
"2010-03-01 00:00:00.000","0","443","443","100.0"
"2010-03-01 00:00:00.000","1","443","84","18.96"
"2010-03-01 00:00:00.000","2","443","102","23.02"
"2010-03-01 00:00:00.000","3","443","107","24.15"
"2010-03-01 00:00:00.000","4","443","103","23.25"
"2010-03-01 00:00:00.000","5","443","90","20.32"
"2010-03-01 00:00:00.000","6","443","109","24.6"
"2010-03-01 00:00:00.000","7","443","134","30.25"
"2010-03-01 00:00:00.000","8","443","122","27.54"
"2010-03-01 00:00:00.000","9","443","48","10.84"
"2010-03-01 00:00:00.000","10","443","51","11.51"
"2010-03-01 00:00:00.000","11","443","63","14.22"
"2010-03-01 00:00:00.000","12","443","89","20.09"
"2010-03-01 00:00:00.000","13","443","72","16.25"
"2010-03-01 00:00:00.000","14","443","89","20.09"
"2010-03-01 00:00:00.000","15","443","75","16.93"
"2010-03-01 00:00:00.000","16","443","77","17.38"
"2010-03-01 00:00:00.000","17","443","69","15.58"
"2010-03-01 00:00:00.000","18","443","78","17.61"
"2010-03-01 00:00:00.000","19","443","89","20.09"
"2010-03-01 00:00:00.000","20","443","94","21.22"
"2010-03-01 00:00:00.000","21","443","35","7.9"
"2010-04-01 00:00:00.000","0","294","294","100.0"
"2010-04-01 00:00:00.000","1","294","57","19.39"
"2010-04-01 00:00:00.000","2","294","57","19.39"
"2010-04-01 00:00:00.000","3","294","48","16.33"
"2010-04-01 00:00:00.000","4","294","54","18.37"
"2010-04-01 00:00:00.000","5","294","66","22.45"
"2010-04-01 00:00:00.000","6","294","81","27.55"
"2010-04-01 00:00:00.000","7","294","77","26.19"
"2010-04-01 00:00:00.000","8","294","31","10.54"
"2010-04-01 00:00:00.000","9","294","32","10.88"
"2010-04-01 00:00:00.000","10","294","22","7.48"
"2010-04-01 00:00:00.000","11","294","41","13.95"
"2010-04-01 00:00:00.000","12","294","41","13.95"
"2010-04-01 00:00:00.000","13","294","46","15.65"
"2010-04-01 00:00:00.000","14","294","46","15.65"
"2010-04-01 00:00:00.000","15","294","46","15.65"
"2010-04-01 00:00:00.000","16","294","41","13.95"
"2010-04-01 00:00:00.000","17","294","44","14.97"
"2010-04-01 00:00:00.000","18","294","53","18.03"
"2010-04-01 00:00:00.000","19","294","66","22.45"
"2010-04-01 00:00:00.000","20","294","17","5.78"
"2010-05-01 00:00:00.000","0","254","254","100.0"
"2010-05-01 00:00:00.000","1","254","40","15.75"
"2010-05-01 00:00:00.000","2","254","43","16.93"
"2010-05-01 00:00:00.000","3","254","44","17.32"
"2010-05-01 00:00:00.000","4","254","45","17.72"
"2010-05-01 00:00:00.000","5","254","65","25.59"
"2010-05-01 00:00:00.000","6","254","54","21.26"
"2010-05-01 00:00:00.000","7","254","32","12.6"
"2010-05-01 00:00:00.000","8","254","15","5.91"
"2010-05-01 00:00:00.000","9","254","21","8.27"
"2010-05-01 00:00:00.000","10","254","29","11.42"
"2010-05-01 00:00:00.000","11","254","34","13.39"
"2010-05-01 00:00:00.000","12","254","39","15.35"
"2010-05-01 00:00:00.000","13","254","39","15.35"
"2010-05-01 00:00:00.000","14","254","25","9.84"
"2010-05-01 00:00:00.000","15","254","32","12.6"
"2010-05-01 00:00:00.000","16","254","35","13.78"
"2010-05-01 00:00:00.000","17","254","42","16.54"
"2010-05-01 00:00:00.000","18","254","39","15.35"
"2010-05-01 00:00:00.000","19","254","12","4.72"
"2010-06-01 00:00:00.000","0","270","270","100.0"
"2010-06-01 00:00:00.000","1","270","47","17.41"
"2010-06-01 00:00:00.000","2","270","51","18.89"
"2010-06-01 00:00:00.000","3","270","55","20.37"
"2010-06-01 00:00:00.000","4","270","62","22.96"
"2010-06-01 00:00:00.000","5","270","77","28.52"
"2010-06-01 00:00:00.000","6","270","34","12.59"
"2010-06-01 00:00:00.000","7","270","24","8.89"
"2010-06-01 00:00:00.000","8","270","22","8.15"
"2010-06-01 00:00:00.000","9","270","32","11.85"
"2010-06-01 00:00:00.000","10","270","29","10.74"
"2010-06-01 00:00:00.000","11","270","37","13.7"
"2010-06-01 00:00:00.000","12","270","40","14.81"
"2010-06-01 00:00:00.000","13","270","33","12.22"
"2010-06-01 00:00:00.000","14","270","30","11.11"
"2010-06-01 00:00:00.000","15","270","33","12.22"
"2010-06-01 00:00:00.000","16","270","36","13.33"
"2010-06-01 00:00:00.000","17","270","55","20.37"
"2010-06-01 00:00:00.000","18","270","14","5.19"
"2010-07-01 00:00:00.000","0","186","186","100.0"
"2010-07-01 00:00:00.000","1","186","29","15.59"
"2010-07-01 00:00:00.000","2","186","34","18.28"
"2010-07-01 00:00:00.000","3","186","55","29.57"
"2010-07-01 00:00:00.000","4","186","54","29.03"
"2010-07-01 00:00:00.000","5","186","26","13.98"
"2010-07-01 00:00:00.000","6","186","21","11.29"
"2010-07-01 00:00:00.000","7","186","27","14.52"
"2010-07-01 00:00:00.000","8","186","27","14.52"
"2010-07-01 00:00:00.000","9","186","21","11.29"
"2010-07-01 00:00:00.000","10","186","25","13.44"
"2010-07-01 00:00:00.000","11","186","27","14.52"
"2010-07-01 00:00:00.000","12","186","25","13.44"
"2010-07-01 00:00:00.000","13","186","25","13.44"
"2010-07-01 00:00:00.000","14","186","36","19.35"
"2010-07-01 00:00:00.000","15","186","32","17.2"
"2010-07-01 00:00:00.000","16","186","44","23.66"
"2010-07-01 00:00:00.000","17","186","15","8.06"
"2010-08-01 00:00:00.000","0","162","162","100.0"
"2010-08-01 00:00:00.000","1","162","33","20.37"
"2010-08-01 00:00:00.000","2","162","48","29.63"
"2010-08-01 00:00:00.000","3","162","52","32.1"
"2010-08-01 00:00:00.000","4","162","28","17.28"
"2010-08-01 00:00:00.000","5","162","19","11.73"
"2010-08-01 00:00:00.000","6","162","16","9.88"
"2010-08-01 00:00:00.000","7","162","20","12.35"
"2010-08-01 00:00:00.000","8","162","22","13.58"
"2010-08-01 00:00:00.000","9","162","21","12.96"
"2010-08-01 00:00:00.000","10","162","21","12.96"
"2010-08-01 00:00:00.000","11","162","20","12.35"
"2010-08-01 00:00:00.000","12","162","25","15.43"
"2010-08-01 00:00:00.000","13","162","30","18.52"
"2010-08-01 00:00:00.000","14","162","29","17.9"
"2010-08-01 00:00:00.000","15","162","32","19.75"
"2010-08-01 00:00:00.000","16","162","11","6.79"
"2010-09-01 00:00:00.000","0","243","243","100.0"
"2010-09-01 00:00:00.000","1","243","55","22.63"
"2010-09-01 00:00:00.000","2","243","57","23.46"
"2010-09-01 00:00:00.000","3","243","30","12.35"
"2010-09-01 00:00:00.000","4","243","22","9.05"
"2010-09-01 00:00:00.000","5","243","25","10.29"
"2010-09-01 00:00:00.000","6","243","33","13.58"
"2010-09-01 00:00:00.000","7","243","24","9.88"
"2010-09-01 00:00:00.000","8","243","31","12.76"
"2010-09-01 00:00:00.000","9","243","32","13.17"
"2010-09-01 00:00:00.000","10","243","28","11.52"
"2010-09-01 00:00:00.000","11","243","24","9.88"
"2010-09-01 00:00:00.000","12","243","53","21.81"
"2010-09-01 00:00:00.000","13","243","40","16.46"
"2010-09-01 00:00:00.000","14","243","39","16.05"
"2010-09-01 00:00:00.000","15","243","13","5.35"
"2010-10-01 00:00:00.000","0","377","377","100.0"
"2010-10-01 00:00:00.000","1","377","97","25.73"
"2010-10-01 00:00:00.000","2","377","55","14.59"
"2010-10-01 00:00:00.000","3","377","47","12.47"
"2010-10-01 00:00:00.000","4","377","33","8.75"
"2010-10-01 00:00:00.000","5","377","31","8.22"
"2010-10-01 00:00:00.000","6","377","49","13.0"
"2010-10-01 00:00:00.000","7","377","52","13.79"
"2010-10-01 00:00:00.000","8","377","40","10.61"
"2010-10-01 00:00:00.000","9","377","35","9.28"
"2010-10-01 00:00:00.000","10","377","40","10.61"
"2010-10-01 00:00:00.000","11","377","49","13.0"
"2010-10-01 00:00:00.000","12","377","72","19.1"
"2010-10-01 00:00:00.000","13","377","87","23.08"
"2010-10-01 00:00:00.000","14","377","26","6.9"
"2010-11-01 00:00:00.000","0","325","325","100.0"
"2010-11-01 00:00:00.000","1","325","57","17.54"
"2010-11-01 00:00:00.000","2","325","30","9.23"
"2010-11-01 00:00:00.000","3","325","31","9.54"
"2010-11-01 00:00:00.000","4","325","25","7.69"
"2010-11-01 00:00:00.000","5","325","28","8.62"
"2010-11-01 00:00:00.000","6","325","42","12.92"
"2010-11-01 00:00:00.000","7","325","32","9.85"
"2010-11-01 00:00:00.000","8","325","28","8.62"
"2010-11-01 00:00:00.000","9","325","29","8.92"
"2010-11-01 00:00:00.000","10","325","36","11.08"
"2010-11-01 00:00:00.000","11","325","47","14.46"
"2010-11-01 00:00:00.000","12","325","83","25.54"
"2010-11-01 00:00:00.000","13","325","20","6.15"
"2010-12-01 00:00:00.000","0","76","76","100.0"
"2010-12-01 00:00:00.000","1","76","7","9.21"
"2010-12-01 00:00:00.000","2","76","4","5.26"
"2010-12-01 00:00:00.000","3","76","7","9.21"
"2010-12-01 00:00:00.000","4","76","9","11.84"
"2010-12-01 00:00:00.000","5","76","5","6.58"
"2010-12-01 00:00:00.000","6","76","4","5.26"
"2010-12-01 00:00:00.000","7","76","7","9.21"
"2010-12-01 00:00:00.000","8","76","4","5.26"
"2010-12-01 00:00:00.000","9","76","2","2.63"
"2010-12-01 00:00:00.000","10","76","7","9.21"
"2010-12-01 00:00:00.000","11","76","15","19.74"
"2010-12-01 00:00:00.000","12","76","2","2.63"
"2011-01-01 00:00:00.000","0","71","71","100.0"
"2011-01-01 00:00:00.000","1","71","12","16.9"
"2011-01-01 00:00:00.000","2","71","15","21.13"
"2011-01-01 00:00:00.000","3","71","14","19.72"
"2011-01-01 00:00:00.000","4","71","15","21.13"
"2011-01-01 00:00:00.000","5","71","11","15.49"
"2011-01-01 00:00:00.000","6","71","11","15.49"
"2011-01-01 00:00:00.000","7","71","9","12.68"
"2011-01-01 00:00:00.000","8","71","8","11.27"
"2011-01-01 00:00:00.000","9","71","15","21.13"
"2011-01-01 00:00:00.000","10","71","18","25.35"
"2011-01-01 00:00:00.000","11","71","8","11.27"
"2011-02-01 00:00:00.000","0","124","124","100.0"
"2011-02-01 00:00:00.000","1","124","20","16.13"
"2011-02-01 00:00:00.000","2","124","19","15.32"
"2011-02-01 00:00:00.000","3","124","23","18.55"
"2011-02-01 00:00:00.000","4","124","27","21.77"
"2011-02-01 00:00:00.000","5","124","19","15.32"
"2011-02-01 00:00:00.000","6","124","19","15.32"
"2011-02-01 00:00:00.000","7","124","18","14.52"
"2011-02-01 00:00:00.000","8","124","18","14.52"
"2011-02-01 00:00:00.000","9","124","22","17.74"
"2011-02-01 00:00:00.000","10","124","7","5.65"
"2011-03-01 00:00:00.000","0","179","179","100.0"
"2011-03-01 00:00:00.000","1","179","33","18.44"
"2011-03-01 00:00:00.000","2","179","39","21.79"
"2011-03-01 00:00:00.000","3","179","36","20.11"
"2011-03-01 00:00:00.000","4","179","40","22.35"
"2011-03-01 00:00:00.000","5","179","27","15.08"
"2011-03-01 00:00:00.000","6","179","37","20.67"
"2011-03-01 00:00:00.000","7","179","36","20.11"
"2011-03-01 00:00:00.000","8","179","43","24.02"
"2011-03-01 00:00:00.000","9","179","17","9.5"
"2011-04-01 00:00:00.000","0","106","106","100.0"
"2011-04-01 00:00:00.000","1","106","27","25.47"
"2011-04-01 00:00:00.000","2","106","21","19.81"
"2011-04-01 00:00:00.000","3","106","21","19.81"
"2011-04-01 00:00:00.000","4","106","19","17.92"
"2011-04-01 00:00:00.000","5","106","25","23.58"
"2011-04-01 00:00:00.000","6","106","19","17.92"
"2011-04-01 00:00:00.000","7","106","27","25.47"
"2011-04-01 00:00:00.000","8","106","12","11.32"
"2011-05-01 00:00:00.000","0","111","111","100.0"
"2011-05-01 00:00:00.000","1","111","26","23.42"
"2011-05-01 00:00:00.000","2","111","27","24.32"
"2011-05-01 00:00:00.000","3","111","18","16.22"
"2011-05-01 00:00:00.000","4","111","24","21.62"
"2011-05-01 00:00:00.000","5","111","23","20.72"
"2011-05-01 00:00:00.000","6","111","29","26.13"
"2011-05-01 00:00:00.000","7","111","13","11.71"
"2011-06-01 00:00:00.000","0","108","108","100.0"
"2011-06-01 00:00:00.000","1","108","25","23.15"
"2011-06-01 00:00:00.000","2","108","23","21.3"
"2011-06-01 00:00:00.000","3","108","29","26.85"
"2011-06-01 00:00:00.000","4","108","22","20.37"
"2011-06-01 00:00:00.000","5","108","31","28.7"
"2011-06-01 00:00:00.000","6","108","9","8.33"
"2011-07-01 00:00:00.000","0","102","102","100.0"
"2011-07-01 00:00:00.000","1","102","22","21.57"
"2011-07-01 00:00:00.000","2","102","31","30.39"
"2011-07-01 00:00:00.000","3","102","28","27.45"
"2011-07-01 00:00:00.000","4","102","35","34.31"
"2011-07-01 00:00:00.000","5","102","16","15.69"
"2011-08-01 00:00:00.000","0","106","106","100.0"
"2011-08-01 00:00:00.000","1","106","29","27.36"
"2011-08-01 00:00:00.000","2","106","33","31.13"
"2011-08-01 00:00:00.000","3","106","28","26.42"
"2011-08-01 00:00:00.000","4","106","18","16.98"
"2011-09-01 00:00:00.000","0","189","189","100.0"
"2011-09-01 00:00:00.000","1","189","51","26.98"
"2011-09-01 00:00:00.000","2","189","71","37.57"
"2011-09-01 00:00:00.000","3","189","28","14.81"
"2011-10-01 00:00:00.000","0","221","221","100.0"
"2011-10-01 00:00:00.000","1","221","71","32.13"
"2011-10-01 00:00:00.000","2","221","35","15.84"
"2011-11-01 00:00:00.000","0","191","191","100.0"
"2011-11-01 00:00:00.000","1","191","27","14.14"
"2011-12-01 00:00:00.000","0","28","28","100.0"
