cohort_month,month_number,active_customers,cohort_customers,pct_retained
2010-03,14,89,443,20.09
2010-03,15,75,443,16.93
2010-03,16,77,443,17.38
2010-03,17,69,443,15.58
2010-03,18,78,443,17.61
2010-03,19,89,443,20.09
2010-03,20,94,443,21.22
2010-03,21,35,443,7.9
2010-04,0,294,294,100.0
2010-04,1,57,294,19.39
2010-04,2,57,294,19.39
2010-04,3,48,294,16.33
2010-04,4,54,294,18.37
2010-04,5,66,294,22.45
2010-04,6,81,294,27.55
2010-04,7,77,294,26.19
2010-04,8,31,294,10.54
2010-04,9,32,294,10.88
2010-04,10,22,294,7.48
2010-04,11,41,294,13.95
2010-04,12,41,294,13.95
2010-04,13,46,294,15.65
2010-04,14,46,294,15.65
2010-04,15,46,294,15.65
2010-04,16,41,294,13.95
2010-04,17,44,294,14.97
2010-04,18,53,294,18.03
2010-04,19,66,294,22.45
2010-04,20,17,294,5.78
2010-05,0,254,254,100.0
2010-05,1,40,254,15.75
2010-05,2,43,254,16.93
2010-05,3,44,254,17.32
2010-05,4,45,254,17.72
2010-05,5,65,254,25.59
2010-05,6,54,254,21.26
2010-05,7,32,254,12.6
2010-05,8,15,254,5.91
2010-05,9,21,254,8.27
2010-05,10,29,254,11.42
2010-05,11,34,254,13.39
2010-05,12,39,254,15.35
2010-05,13,39,254,15.35
2010-05,14,25,254,9.84
2010-05,15,32,254,12.6
2010-05,16,35,254,13.78
2010-05,17,42,254,16.54
2010-05,18,39,254,15.35
2010-05,19,12,254,4.72
2010-06,0,270,270,100.0
2010-06,1,47,270,17.41
2010-06,2,51,270,18.89
2010-06,3,55,270,20.37
2010-06,4,62,270,22.96
2010-06,5,77,270,28.52
2010-06,6,34,270,12.59
2010-06,7,24,270,8.89
2010-06,8,22,270,8.15
2010-06,9,32,270,11.85
2010-06,10,29,270,10.74
2010-06,11,37,270,13.7
2010-06,12,40,270,14.81
2010-06,13,33,270,12.22
2010-06,14,30,270,11.11
2010-06,15,33,270,12.22
2010-06,16,36,270,13.33
2010-06,17,55,270,20.37
2010-06,18,14,270,5.19
2010-07,0,186,186,100.0
2010-07,1,29,186,15.59
2010-07,2,34,186,18.28
2010-07,3,55,186,29.57
2010-07,4,54,186,29.03
2010-07,5,26,186,13.98
2010-07,6,21,186,11.29
2010-07,7,27,186,14.52
2010-07,8,27,186,14.52
2010-07,9,21,186,11.29
2010-07,10,25,186,13.44
2010-07,11,27,186,14.52
2010-07,12,25,186,13.44
2010-07,13,25,186,13.44
2010-07,14,36,186,19.35
2010-07,15,32,186,17.2
2010-07,16,44,186,23.66
2010-07,17,15,186,8.06
2010-08,0,162,162,100.0
2010-08,1,33,162,20.37
2010-08,2,48,162,29.63
2010-08,3,52,162,32.1
2010-08,4,28,162,17.28
2010-08,5,19,162,11.73
2010-08,6,16,162,9.88
2010-08,7,20,162,12.35
2010-08,8,22,162,13.58
2010-08,9,21,162,12.96
2010-08,10,21,162,12.96
2010-08,11,20,162,12.35
2010-08,12,25,162,15.43
2010-08,13,30,162,18.52
2010-08,14,29,162,17.9
2010-08,15,32,162,19.75
2010-08,16,11,162,6.79
2010-09,0,243,243,100.0
2010-09,1,55,243,22.63
2010-09,2,57,243,23.46
2010-09,3,30,243,12.35
2010-09,4,22,243,9.05
2010-09,5,25,243,10.29
2010-09,6,33,243,13.58
2010-09,7,24,243,9.88
2010-09,8,31,243,12.76
2010-09,9,32,243,13.17
2010-09,10,28,243,11.52
2010-09,11,24,243,9.88
2010-09,12,53,243,21.81
2010-09,13,40,243,16.46
2010-09,14,39,243,16.05
2010-09,15,13,243,5.35
2010-10,0,377,377,100.0
2010-10,1,97,377,25.73
2010-10,2,55,377,14.59
2010-10,3,47,377,12.47
2010-10,4,33,377,8.75
2010-10,5,31,377,8.22
2010-10,6,49,377,13.0
2010-10,7,52,377,13.79
2010-10,8,40,377,10.61
2010-10,9,35,377,9.28
2010-10,10,40,377,10.61
2010-10,11,49,377,13.0
2010-10,12,72,377,19.1
2010-10,13,87,377,23.08
2010-10,14,26,377,6.9
2010-11,0,325,325,100.0
2010-11,1,57,325,17.54
2010-11,2,30,325,9.23
2010-11,3,31,325,9.54
2010-11,4,25,325,7.69
2010-11,5,28,325,8.62
2010-11,6,42,325,12.92
2010-11,7,32,325,9.85
2010-11,8,28,325,8.62
2010-11,9,29,325,8.92
2010-11,10,36,325,11.08
2010-11,11,47,325,14.46
2010-11,12,83,325,25.54
2010-11,13,20,325,6.15
2010-12,0,76,76,100.0
2010-12,1,7,76,9.21
2010-12,2,4,76,5.26
2010-12,3,7,76,9.21
2010-12,4,9,76,11.84
2010-12,5,5,76,6.58
2010-12,6,4,76,5.26
2010-12,7,7,76,9.21
2010-12,8,4,76,5.26
2010-12,9,2,76,2.63
2010-12,10,7,76,9.21
2010-12,11,15,76,19.74
2010-12,12,2,76,2.63
2011-01,0,71,71,100.0
2011-01,1,12,71,16.9
2011-01,2,15,71,21.13
2011-01,3,14,71,19.72
2011-01,4,15,71,21.13
2011-01,5,11,71,15.49
2011-01,6,11,71,15.49
2011-01,7,9,71,12.68
2011-01,8,8,71,11.27
2011-01,9,15,71,21.13
2011-01,10,18,71,25.35
2011-01,11,8,71,11.27
2011-02,0,124,124,100.0
2011-02,1,20,124,16.13
2011-02,2,19,124,15.32
2011-02,3,23,124,18.55
2011-02,4,27,124,21.77
2011-02,5,19,124,15.32
2011-02,6,19,124,15.32
2011-02,7,18,124,14.52
2011-02,8,18,124,14.52
2011-02,9,22,124,17.74
2011-02,10,7,124,5.65
2011-03,0,179,179,100.0
2011-03,1,33,179,18.44
2011-03,2,39,179,21.79
2011-03,3,36,179,20.11
2011-03,4,40,179,22.35
2011-03,5,27,179,15.08
2011-03,6,37,179,20.67
2011-03,7,36,179,20.11
2011-03,8,43,179,24.02
2011-03,9,17,179,9.5
2011-04,0,106,106,100.0
2011-04,1,27,106,25.47
2011-04,2,21,106,19.81
2011-04,3,21,106,19.81
2011-04,4,19,106,17.92
2011-04,5,25,106,23.58
2011-04,6,19,106,17.92
2011-04,7,27,106,25.47
2011-04,8,12,106,11.32
2011-05,0,111,111,100.0
2011-05,1,26,111,23.42
2011-05,2,27,111,24.32
2011-05,3,18,111,16.22
2011-05,4,24,111,21.62
2011-05,5,23,111,20.72
2011-05,6,29,111,26.13
2011-05,7,13,111,11.71
2011-06,0,108,108,100.0
2011-06,1,25,108,23.15
2011-06,2,23,108,21.3
2011-06,3,29,108,26.85
2011-06,4,22,108,20.37
2011-06,5,31,108,28.7
2011-06,6,9,108,8.33
2011-07,0,102,102,100.0
2011-07,1,22,102,21.57
2011-07,2,31,102,30.39
2011-07,3,28,102,27.45
2011-07,4,35,102,34.31
2011-07,5,16,102,15.69
2011-08,0,106,106,100.0
2011-08,1,29,106,27.36
2011-08,2,33,106,31.13
2011-08,3,28,106,26.42
2011-08,4,18,106,16.98
2011-09,0,189,189,100.0
2011-09,1,51,189,26.98
2011-09,2,71,189,37.57
2011-09,3,28,189,14.81
2011-10,0,221,221,100.0
2011-10,1,71,221,32.13
2011-10,2,35,221,15.84
2011-11,0,191,191,100.0
2011-11,1,27,191,14.14
2011-12,0,28,28,100.0
